node1,node2
mike collier,mike collier
mike,mike   
mike,mike collier
mike   ,mike collier
hero   ,susan collins
hero   ,brett kavanaugh
hero   ,brett kavanaugh   
hero   ,supreme court
hero   ,susan collins
hero   ,susan collins
hero   ,susan collins
susan collins,brett kavanaugh
susan collins,brett kavanaugh   
susan collins,supreme court
susan collins,susan collins
susan collins,susan collins
susan collins,susan collins
brett kavanaugh,brett kavanaugh   
brett kavanaugh,supreme court
brett kavanaugh,susan collins
brett kavanaugh,susan collins
brett kavanaugh,susan collins
brett kavanaugh   ,supreme court
brett kavanaugh   ,susan collins
brett kavanaugh   ,susan collins
brett kavanaugh   ,susan collins
supreme court,susan collins
supreme court,susan collins
supreme court,susan collins
susan collins,susan collins
susan collins,susan collins
susan collins,susan collins
hero   ,susan collins
hero   ,brett kavanaugh
hero   ,brett kavanaugh   
hero   ,supreme court
hero   ,susan collins
hero   ,susan collins
hero   ,susan collins
susan collins,brett kavanaugh
susan collins,brett kavanaugh   
susan collins,supreme court
susan collins,susan collins
susan collins,susan collins
susan collins,susan collins
brett kavanaugh,brett kavanaugh   
brett kavanaugh,supreme court
brett kavanaugh,susan collins
brett kavanaugh,susan collins
brett kavanaugh,susan collins
brett kavanaugh   ,supreme court
brett kavanaugh   ,susan collins
brett kavanaugh   ,susan collins
brett kavanaugh   ,susan collins
supreme court,susan collins
supreme court,susan collins
supreme court,susan collins
susan collins,susan collins
susan collins,susan collins
susan collins,susan collins
richard ojeda,congress
richard ojeda,wv
congress,wv
energy citizens    ,jim webb
energy citizens    ,navy
jim webb,navy
alyse galvin,congress
alyse galvin,donald
alyse galvin,congress
alyse galvin,galvin
congress,donald
congress,congress
congress,galvin
donald,congress
donald,galvin
congress,galvin
kim,paul ryan
kim,kim
kim,kim
kim,paul ryan
paul ryan,kim
paul ryan,kim
paul ryan,paul ryan
kim,kim
kim,paul ryan
kim,paul ryan
james thompson,🇸
james thompson,🇸
🇸,🇸
supreme court,supreme court
supreme court,josh hawley
supreme court,supreme court
supreme court,california ag
supreme court,supreme court
supreme court,nebraska nevada
supreme court,josh hawley
supreme court,supreme court
supreme court,california ag
supreme court,supreme court
supreme court,nebraska nevada
josh hawley,supreme court
josh hawley,california ag
josh hawley,supreme court
josh hawley,nebraska nevada
supreme court,california ag
supreme court,supreme court
supreme court,nebraska nevada
california ag,supreme court
california ag,nebraska nevada
