node1,node2
kim,social justice
kim,maui
social justice,maui
stacey abrams,brian kemp
stacey abrams,georgia
stacey abrams,kemp
stacey abrams,abrams stacey
stacey abrams,stacey abrams
stacey abrams,brian kemp
stacey abrams,georgia
brian kemp,georgia
brian kemp,kemp
brian kemp,abrams stacey
brian kemp,stacey abrams
brian kemp,brian kemp
brian kemp,georgia
georgia,kemp
georgia,abrams stacey
georgia,stacey abrams
georgia,brian kemp
georgia,georgia
kemp,abrams stacey
kemp,stacey abrams
kemp,brian kemp
kemp,georgia
abrams stacey,stacey abrams
abrams stacey,brian kemp
abrams stacey,georgia
stacey abrams,brian kemp
stacey abrams,georgia
brian kemp,georgia
jason helland,illinois
jason helland,il
illinois,il
jan schneider,august
jan schneider,lyndon johnson
jan schneider,johnson
jan schneider,years
jan schneider,june
jan schneider,united states supreme court
jan schneider,ted section
jan schneider,shelby county
jan schneider,congress
jan schneider,june
jan schneider,supreme court
jan schneider,philip randolph institute
jan schneider,ohio
jan schneider,brett kavanaugh   
jan schneider,supreme court
jan schneider,florida
august,lyndon johnson
august,johnson
august,years
august,june
august,united states supreme court
august,ted section
august,shelby county
august,congress
august,june
august,supreme court
august,philip randolph institute
august,ohio
august,brett kavanaugh   
august,supreme court
august,florida
lyndon johnson,johnson
lyndon johnson,years
lyndon johnson,june
lyndon johnson,united states supreme court
lyndon johnson,ted section
lyndon johnson,shelby county
lyndon johnson,congress
lyndon johnson,june
lyndon johnson,supreme court
lyndon johnson,philip randolph institute
lyndon johnson,ohio
lyndon johnson,brett kavanaugh   
lyndon johnson,supreme court
lyndon johnson,florida
johnson,years
johnson,june
johnson,united states supreme court
johnson,ted section
johnson,shelby county
johnson,congress
johnson,june
johnson,supreme court
johnson,philip randolph institute
johnson,ohio
johnson,brett kavanaugh   
johnson,supreme court
johnson,florida
years,june
years,united states supreme court
years,ted section
years,shelby county
years,congress
years,june
years,supreme court
years,philip randolph institute
years,ohio
years,brett kavanaugh   
years,supreme court
years,florida
june,united states supreme court
june,ted section
june,shelby county
june,congress
june,june
june,supreme court
june,philip randolph institute
june,ohio
june,brett kavanaugh   
june,supreme court
june,florida
united states supreme court,ted section
united states supreme court,shelby county
united states supreme court,congress
united states supreme court,june
united states supreme court,supreme court
united states supreme court,philip randolph institute
united states supreme court,ohio
